ADM1_NAME,ADM2_NAME,Pop2018
Sud-Ubangi,Bwamanda,235116
Sud-Ubangi,Gemena,346355
Sud-Ubangi,Tandala,282645
Sud-Ubangi,Bokonzi,222034
Sud-Ubangi,Boto,18621
Sud-Ubangi,Kungu,220604
Sud-Ubangi,Libenge,235116
Sud-Ubangi,Mawuya,159216
Sud-Ubangi,Zongo,77338
Tanganyika,Kabalo,259754
Tanganyika,Kalemie,344674
Tanganyika,Nyemba,323847
Tanganyika,Kongolo,310263
Tanganyika,Mbulula,196241
Tanganyika,Ankoro,263813
Tanganyika,Kiyambi,170952
Tanganyika,Manono,288813
Tanganyika,Kansimba,167015
Tanganyika,Moba,333480
Tanganyika,Nyunzu,266822
Tshopo,Bafwagbogbo,70551
Tshopo,Bafwasende,80856
Tshopo,Opienge,61837
Tshopo,Banalia,142899
Tshopo,Bengamisa,117655
Tshopo,Basali,86257
Tshopo,Basoko,159267
Tshopo,Yalimbongo,100877
Tshopo,Isangi,159601
Tshopo,Yabaondo,167516
Tshopo,Yahisuli,85524
Tshopo,Yakusu,159288
Tshopo,Kabondo,181920
Tshopo,Lubunga,162923
Tshopo,Makiso-Kisangani,199445
Tshopo,Mangobo,197747
Tshopo,Tshopo,136308
Tshopo,Opala,126508
Tshopo,Yaleko,140660
Tshopo,Lowa,130671
Tshopo,Ubundu,100123
Tshopo,Wanierukula,85526
Tshopo,Yahuma,184977
Tshuapa,Befale,172349
Tshuapa,Mompono,138523
Tshuapa,Boende,264242
Tshuapa,Wema,9269
Tshuapa,Bokungu,195404
Tshuapa,Bosanga,228558
Tshuapa,Yalifafo,169546
Tshuapa,Djolu,228558
Tshuapa,Lingomo,131412
Tshuapa,Ikela,165039
Tshuapa,Mondombe,168246
Tshuapa,Monkoto,130942
