Origin,Origin_Pop,Destination,Destination_Pop,Travel_Time
BAMBU-MINES,152322,ARIWARA,206104,18244.0
BENI,395029,ARIWARA,206104,28843.0
BIENA,122726,ARIWARA,206104,35357.0
BINZA,190494,ARIWARA,206104,43685.0
BIRAMBIZO,398438,ARIWARA,206104,43661.0
BIRINGI,125472,ARIWARA,206104,7988.0
BOGA,69412,ARIWARA,206104,28445.0
BUNIA,274563,ARIWARA,206104,19784.0
BUTEMBO,326616,ARIWARA,206104,31157.0
DAMAS,119532,ARIWARA,206104,14365.0
DRODRO,158491,ARIWARA,206104,20400.0
FATAKI,131340,ARIWARA,206104,17448.0
GETHY,191018,ARIWARA,206104,24404.0
GOMA,260035,ARIWARA,206104,44131.0
ITEBERO,183913,ARIWARA,206104,59775.0
JIBA,140335,ARIWARA,206104,19173.0
KALUNGUTA,206145,ARIWARA,206104,29382.0
KAMANGO,109141,ARIWARA,206104,30399.0
KAMBALA,126742,ARIWARA,206104,13922.0
KARISIMBI,518302,ARIWARA,206104,43707.0
KATWA,424920,ARIWARA,206104,31177.0
KAYNA,362851,ARIWARA,206104,39946.0
KIBIRIZI,331604,ARIWARA,206104,38844.0
KIBUA,104917,ARIWARA,206104,54387.0
KILO,57244,ARIWARA,206104,16994.0
KIROTSHE,452929,ARIWARA,206104,46514.0
KITOYI,22000,ARIWARA,206104,50092.0
KOMANDA,189251,ARIWARA,206104,24813.0
KYONDO,222254,ARIWARA,206104,34014.0
LAYBO,145111,ARIWARA,206104,3419.0
LINGA,151032,ARIWARA,206104,17586.0
LITA,131251,ARIWARA,206104,23180.0
LOGO,246325,ARIWARA,206104,15873.0
LOLWA,46878,ARIWARA,206104,27513.0
LUBERO,274996,ARIWARA,206104,34903.0
MABALAKO,192291,ARIWARA,206104,40124.0
MAHAGI,178740,ARIWARA,206104,19513.0
MAMBASA,98208,ARIWARA,206104,29928.0
MANDIMA,141513,ARIWARA,206104,37131.0
MANGALA,94886,ARIWARA,206104,25322.0
MANGUREDJIPA,74827,ARIWARA,206104,41432.0
MASEREKA,183527,ARIWARA,206104,33625.0
MASISI,423301,ARIWARA,206104,50957.0
MONGBWALU,136572,ARIWARA,206104,16635.0
MUSIENENE,257600,ARIWARA,206104,34888.0
MUTWANGA,256179,ARIWARA,206104,32543.0
MWESO,404625,ARIWARA,206104,45542.0
NIA-NIA,73073,ARIWARA,206104,39987.0
NIZI,145051,ARIWARA,206104,19901.0
NYANKUNDE,100299,ARIWARA,206104,16306.0
NYARAMBE,238825,ARIWARA,206104,28572.0
NYIRAGONGO,635148,ARIWARA,206104,42919.0
OICHA,347253,ARIWARA,206104,27357.0
PINGA,156081,ARIWARA,206104,44489.0
RETHY,205135,ARIWARA,206104,16708.0
RIMBA,216446,ARIWARA,206104,16675.0
RUTSHURU,293634,ARIWARA,206104,40760.0
RWAMPARA,137286,ARIWARA,206104,22438.0
RWANGUBA,268948,ARIWARA,206104,41297.0
TCHOMIA,113035,ARIWARA,206104,54445.0
VUHOVI,125530,ARIWARA,206104,30938.0
WALIKALE,162523,ARIWARA,206104,58963.0
ADI,165627,ARU,185456,10303.0
ADJA,129346,ARU,185456,5293.0
ALIMBONGO,227787,ARU,185456,33970.0
ANGUMU,168048,ARU,185456,16384.0
ARIWARA,206104,ARU,185456,5657.0
AUNGBA,161978,ARU,185456,5427.0
BAMBO,156395,ARU,185456,37566.0
BAMBU-MINES,152322,ARU,185456,14962.0
BENI,395029,ARU,185456,24183.0
BIENA,122726,ARU,185456,30697.0
BINZA,190494,ARU,185456,39025.0
BIRAMBIZO,398438,ARU,185456,39001.0
BIRINGI,125472,ARU,185456,7662.0
BOGA,69412,ARU,185456,23785.0
BUNIA,274563,ARU,185456,15125.0
BUTEMBO,326616,ARU,185456,26497.0
DAMAS,119532,ARU,185456,12084.0
DRODRO,158491,ARU,185456,15740.0
FATAKI,131340,ARU,185456,12788.0
GETHY,191018,ARU,185456,19744.0
GOMA,260035,ARU,185456,39471.0
ITEBERO,183913,ARU,185456,55115.0
JIBA,140335,ARU,185456,14513.0
KALUNGUTA,206145,ARU,185456,24723.0
KAMANGO,109141,ARU,185456,25739.0
KAMBALA,126742,ARU,185456,9262.0
KARISIMBI,518302,ARU,185456,39047.0
KATWA,424920,ARU,185456,26517.0
KAYNA,362851,ARU,185456,35286.0
KIBIRIZI,331604,ARU,185456,34184.0
KIBUA,104917,ARU,185456,49727.0
KILO,57244,ARU,185456,14713.0
KIROTSHE,452929,ARU,185456,41854.0
KITOYI,22000,ARU,185456,45432.0
KOMANDA,189251,ARU,185456,20153.0
KYONDO,222254,ARU,185456,29355.0
LAYBO,145111,ARU,185456,7617.0
LINGA,151032,ARU,185456,12926.0
LITA,131251,ARU,185456,18520.0
