District_Name,District_ID,Population,Pop_X,Pop_Y,Geog_X,Geog_Y
Buta:Buta,HD_49,147300,24.76541131,2.798988031,24.9797,2.72781
Buta:Likati,HD_50,95888,23.85765272,3.262056528,23.7538,3.32021
Buta:Monga,HD_51,109612,22.8246351,4.341839263,23.028,4.30816
Buta:Titule,HD_52,56408,25.49706477,3.134712849,25.4847,2.96398
Butembo:Biena,HD_53,67994,28.97378532,0.263913371,28.9923,0.238752
Butembo:Butembo,HD_54,409274,29.27858834,0.159901045,29.2289,0.267651
Butembo:Katwa,HD_55,406850,29.30943133,0.129167477,29.3437,0.18064
Butembo:Kayna,HD_56,424168,29.1211342,-0.554504511,29.0464,-0.506879
Butembo:Lubero,HD_57,234411,29.15287032,-0.236650098,28.9467,-0.217816
Butembo:Manguredjipa,HD_58,126041,28.55296572,0.374277209,28.4416,0.391006
Butembo:Masereka,HD_59,62758,29.34147269,-0.079020123,29.3592,-0.112333
Butembo:Musienene,HD_60,161317,29.07195911,0.024122599,28.6713,0.000687378
Cataractes:Boko-Kivulu,HD_61,342112,14.97737171,-5.286457311,15.0165,-5.35694
Cataractes:Gombe-Matadi,HD_62,205176,14.6834054,-5.014816183,14.6554,-5.02303
Cataractes:Kibunzi,HD_63,127014,13.62603683,-5.04444277,13.6716,-5.053
Cataractes:Kimpangu,HD_64,130749,14.87596987,-5.763752883,14.92,-5.74693
Cataractes:Kimpese,HD_65,252794,14.333178,-5.481864566,14.3082,-5.45934
Cataractes:Kwilu-Ngongo,HD_66,219483,14.65336221,-5.492987537,14.6426,-5.48039
Cataractes:Luozi,HD_67,192163,13.97472851,-4.773703722,13.9345,-4.7965
Cataractes:Mangembo,HD_68,147754,14.21987146,-4.602270203,14.25,-4.60804
Cataractes:Mbanza-Ngungu,HD_69,246666,14.85202597,-5.239426433,14.8088,-5.18662
Cataractes:Nsona-Mpangu,HD_70,311237,13.85903084,-5.627335706,13.8836,-5.59273
Dingila:Ango,HD_71,122788,26.23036072,4.31858066,26.0726,4.47187
Dingila:Ganga,HD_72,236460,25.95749209,3.250712708,25.9729,3.09299
Dingila:Poko,HD_73,189877,26.73914323,3.093891394,26.7004,2.96694
Dingila:Viadana,HD_74,79172,27.40459265,3.032923758,27.3459,3.23097
Djugu:Bambu,HD_75,96474,30.21845683,1.883238625,30.2205,1.87176
Djugu:Damas,HD_76,96882,30.16227296,2.178514391,30.178,2.18521
Djugu:Drodro,HD_77,215427,30.54271466,1.749286978,30.5487,1.74173
Djugu:Fataki,HD_78,221627,30.5956176,1.934797322,30.5553,1.91391
Djugu:Jiba,HD_79,87199,30.68870028,1.847975445,30.7194,1.8246
Djugu:Kilo,HD_80,31474,30.10733008,1.78705529,30.0849,1.76212
Djugu:Linga,HD_81,99446,30.75521782,1.986236115,30.7734,1.9564
Djugu:Lita,HD_82,74563,30.36878877,1.607255235,30.3749,1.57476
Djugu:Mangala,HD_83,59447,30.37495671,1.919266681,30.4102,1.96698
Djugu:Mongbalu,HD_84,130038,29.98873218,1.957028742,29.9157,1.98343
Djugu:Nizi,HD_85,71062,30.32550041,1.741243704,30.3247,1.74969
Djugu:Rethy,HD_86,200079,30.76944526,2.08416145,30.7411,2.07503
Djugu:Tchomia,HD_87,31607,30.50912435,1.533934195,30.5081,1.54724
Equateur:Basankusu,HD_88,138227,19.84717581,1.084736477,19.8724,0.927929
Equateur:Bikoro,HD_89,115948,18.20939734,-0.597895122,18.1603,-0.514748
Equateur:Bolomba,HD_90,154715,19.14221681,0.445284241,19.0566,0.34702
Equateur:Bomongo,HD_91,59623,18.28878529,1.510033486,18.4495,1.5262
Equateur:Djombo,HD_92,73562,20.3583095,1.386277778,20.288,1.44351
Equateur:Iboko,HD_93,92730,18.55634247,-0.979956702,18.5366,-0.967868
Equateur:Ingende,HD_94,69860,18.85416793,-0.414160602,18.8202,-0.442233
Equateur:Irebu,HD_95,13260,17.67536936,-0.71871771,17.6455,-0.805294
Equateur:Lilanga Bobangi,HD_96,132043,18.21070962,0.027482177,18.0133,0.172592
Equateur:Lukolela,HD_97,115321,17.08984048,-1.406742693,17.1025,-1.44667
Equateur:Makanza,HD_98,59600,19.08841912,1.57969229,18.9325,1.40149
Equateur:Mampoko,HD_99,53129,18.81604105,0.889052655,18.8184,0.877133
Equateur:Monieka,HD_100,53455,19.9831925,0.038685361,20.0168,0.0998583
Equateur:Motumbe,HD_101,156965,19.66811112,-0.665137627,19.6291,-0.665955
Equateur:Ntondo,HD_102,78964,17.94442281,-1.083798327,17.9283,-1.11497
Funa:Bumbu,HD_103,318465,15.2938692,-4.374105858,15.2939,-4.37213
Funa:Kasa-Vubu,HD_104,202806,15.30635806,-4.341427621,15.3047,-4.34259
Funa:Makala,HD_105,161556,15.31073951,-4.376593408,15.308,-4.38176
Funa:Ngiri-Ngiri,HD_106,353589,15.29855831,-4.355630598,15.2987,-4.35684
Gombe:Barumbu,HD_107,310518,15.32246414,-4.316651923,15.3254,-4.32026
Gombe:Gombe,HD_108,539852,15.30170465,-4.309140045,15.298,-4.31091
Gombe:Kinshasa,HD_109,194778,15.31202811,-4.324818199,15.3119,-4.32247
Gombe:Lingwala,HD_110,173857,15.30080251,-4.32772414,15.3008,-4.32568
Haut Uele Est:Aba,HD_111,112923,30.27191551,3.683805899,30.3062,3.66118
Haut Uele Est:Faradje,HD_112,159320,29.82468936,3.630699915,29.8321,3.75674
Haut Uele Est:Gombari,HD_113,99150,28.92061373,2.824098451,28.9906,2.74719
Haut Uele Est:Makoro,HD_114,127572,30.0352864,3.169833889,30.0067,3.06307
Haut Uele Est:Watsa,HD_115,186587,29.60669492,2.975000399,29.7209,2.72203
Haut Uele Ouest:Boma-Mangbetu,HD_116,145544,27.73614768,2.25145776,27.7581,2.22274
Haut Uele Ouest:Doruma,HD_117,115275,27.84752399,4.393974136,27.6686,4.3948
Haut Uele Ouest:Dungu,HD_118,182454,28.79245277,3.606007533,28.9949,3.82436
Haut Uele Ouest:Isiro,HD_119,397183,27.52539444,2.703314345,27.2966,2.47008
Haut Uele Ouest:Niangara,HD_120,157418,27.92906238,3.527306987,27.9017,3.51247
Haut Uele Ouest:Pawa,HD_121,172341,27.60858154,2.362421836,27.5875,2.33292
Haut Uele Ouest:Rungu,HD_122,131262,27.86122683,2.89277699,27.9642,2.84414
Haut Uele Ouest:Wamba,HD_123,249168,27.97356131,2.17350101,27.9117,2.03295
Haut-Katanga:Kafubu,HD_124,18195,27.7422136,-11.44460133,28.086,-11.4425
Haut-Katanga:Kambove,HD_125,255990,26.7299265,-10.92308547,26.7873,-10.8249
Haut-Katanga:Kapolowe,HD_126,47466,27.12358882,-11.16450671,27.1373,-11.2263
Haut-Katanga:Kasenga,HD_127,112916,28.43309587,-10.50170847,28.2868,-10.6292
Haut-Katanga:Kashobwe,HD_128,41648,28.27388705,-9.850717316,28.209,-9.9118
Haut-Katanga:Kilela Balanda,HD_129,9340,26.64954437,-11.54315424,26.6664,-11.6258
Haut-Katanga:Kilwa,HD_130,188408,28.28996124,-8.970302742,28.127,-8.94784
Haut-Katanga:Kipushi,HD_131,110897,27.32631462,-11.75536468,27.4468,-11.7486
Haut-Katanga:Lukafu,HD_132,47347,27.66115199,-10.63963087,27.6742,-10.6736
Haut-Katanga:Mitwaba,HD_133,105594,27.40135281,-8.84304653,27.2961,-8.83716
Haut-Katanga:Mufunga,HD_134,54982,27.05672662,-9.716153492,27.0588,-9.686
Haut-Katanga:Pweto,HD_135,91622,29.05955987,-8.290245093,29.0099,-8.12709
Haut-Katanga:Sakania,HD_136,189126,28.42451314,-12.44400895,28.9403,-12.5809
Haut-Lomami:Baka,HD_137,124127,24.87178658,-8.693322569,24.5,-8.71463
Haut-Lomami:Bukama,HD_138,89442,25.8602084,-9.315180922,25.9597,-9.37301
Haut-Lomami:Butumba,HD_139,213167,26.41465155,-8.797457499,26.3679,-8.88649
Haut-Lomami:Kabondo Dianda,HD_140,103296,25.8562921,-8.713500209,25.9666,-8.5277
Haut-Lomami:Kabongo,HD_141,189812,25.74199896,-7.291684847,25.8111,-7.35063
Haut-Lomami:Kamina,HD_142,19056,25.18140923,-8.657620246,25.225,-8.6494
Haut-Lomami:Kaniama,HD_143,162552,24.18241121,-7.746758343,24.1568,-7.8673
Haut-Lomami:Kayamba,HD_144,123021,25.14592041,-6.94184629,25.1074,-7.04659
Haut-Lomami:Kinda,HD_145,58110,24.97419175,-9.389531378,24.8885,-9.48047
Haut-Lomami:Kinkondja,HD_146,59764,26.47600053,-7.709725843,26.334,-7.7071
Haut-Lomami:Kitenge,HD_147,36349,25.73909595,-6.526847315,25.7167,-6.518
Haut-Lomami:Lwamba,HD_148,131491,26.7523652,-7.955175347,26.6859,-7.92376
Haut-Lomami:Malemba Nkulu,HD_149,15959,26.4835443,-8.172358396,26.5086,-8.2043
Haut-Lomami:Mukanga,HD_150,228386,26.9320525,-8.298442001,27.1424,-8.18682
Haut-Lomami:Mulongo,HD_151,73371,27.12852126,-7.787310537,27.2684,-7.71325
Haut-Lomami:Songa,HD_152,142092,25.08409299,-8.219201756,25.1356,-8.06222
Kabinda:Kabinda,HD_153,218617,24.46305008,-6.230817858,24.4258,-6.24407
Kabinda:Kalambayi Kabanga,HD_154,236409,24.25504336,-6.649391774,24.4096,-6.74181
Kabinda:Kalonda Est,HD_155,187869,25.12724008,-6.476657719,25.0964,-6.4254
Kabinda:Kamana,HD_156,139852,25.31477851,-5.867503809,25.3977,-5.81913
Kabinda:Lubao,HD_157,96742,25.84864133,-5.453302377,25.8784,-5.51885
Kabinda:Ludimbi Lukula,HD_158,131046,24.57923299,-5.728668993,24.4935,-5.71273
Kabinda:Mulumba,HD_159,251273,23.87333405,-6.598462241,23.8661,-6.5989
Kabinda:Ngandajika,HD_160,237846,24.00770064,-6.741837294,24.0476,-6.76081
Kabinda:Tshofa,HD_161,139063,24.93220994,-5.292151561,24.9935,-5.23977
Kalamu:Kalamu I,HD_162,195112,15.31418081,-4.357583702,15.3156,-4.35837
Kalamu:Kalamu II,HD_163,135204,15.31927991,-4.339133362,15.3198,-4.34071
Kalamu:Kingabwa,HD_164,199892,15.35185663,-4.351168463,15.3573,-4.3494
Kalamu:Kisenso,HD_165,237411,15.34164893,-4.410480105,15.3448,-4.41566
Kalamu:Lemba,HD_166,473576,15.32780829,-4.392533386,15.3208,-4.40239
Kalamu:Limete,HD_167,617215,15.33305268,-4.355483785,15.3363,-4.35569
Kalamu:Matete,HD_168,240219,15.34652592,-4.389426877,15.3504,-4.38951
Kalamu:Ngaba,HD_169,89801,15.32042432,-4.380158784,15.3226,-4.38011
Kananga:Bobozo,HD_170,1328,22.39024366,-5.961174983,22.3908,-5.96453
Kananga:Kananga,HD_171,87195,22.43128122,-5.923560388,22.4323,-5.92802
Kananga:Katoka,HD_172,257053,22.375403,-5.88745011,22.3309,-5.87636
Kananga:Lukonga,HD_173,202765,22.44947745,-5.889780265,22.4666,-5.86844
Kananga:Ndesha,HD_174,199664,22.39681539,-5.872519488,22.4048,-5.82782
Kananga:Tshikaji,HD_175,26694,22.45871839,-5.977717953,22.4668,-5.99291
Kasa?�:Bulape,HD_176,180683,21.66895877,-4.576997141,21.7548,-4.36753
Kasa?�:Dekese,HD_177,153885,21.5308033,-3.494673623,21.3731,-3.28824
Kasa?�:Ilebo,HD_178,100632,20.62761001,-4.333314253,20.7068,-4.35715
Kasa?�:Kakenge,HD_179,101111,22.02670417,-4.59356879,22.151,-4.46798
Kasa?�:Luebo,HD_180,161024,21.5225247,-5.644667317,21.5031,-5.63544
Kasa?�:Mikope,HD_181,226080,20.52709537,-4.876487765,20.5527,-4.91808
Kasa?�:Mushenge,HD_182,136077,21.21350057,-4.493279724,21.1965,-4.40029
Kasa?�:Mweka,HD_183,202110,21.56882602,-5.028600308,21.565,-5.0414
Kasa?�:Ndjoko-Mpunda,HD_184,103339,21.08555844,-5.694836865,21.0947,-5.7147
Kikwit:Kikwit-Nord,HD_185,734027,18.81003626,-5.039283474,18.8241,-5.02137
Kikwit:Kikwit-Sud,HD_186,168896,18.80955883,-5.061333888,18.8095,-5.07936
Kindu:Alunguli,HD_187,56564,25.93965755,-2.953042637,25.9606,-2.94493
Kindu:Kindu,HD_188,247198,25.91429517,-2.946460891,25.8807,-2.93333
Kisangani:Kabondo,HD_189,2245,25.35804824,0.589914869,25.4026,0.638183
Kisangani:Lubunga,HD_190,50356,25.1643848,0.477363876,25.1177,0.392464
Kisangani:Makiso-Kisangani,HD_191,735416,25.19071527,0.51835855,25.2297,0.520134
Kisangani:Mangobo,HD_192,1282,25.10479476,0.605646023,25.0975,0.603866
Kisangani:Tshopo,HD_193,6135,25.24390789,0.670011091,25.2924,0.729461
Kolwezi:Bunkeya,HD_194,26553,27.00765999,-10.37634525,27.014,-10.3754
Kolwezi:Dilala,HD_195,43115,25.23055782,-10.59849659,25.2346,-10.5753
Kolwezi:Fungurume,HD_196,63123,26.36242647,-10.66607703,26.3609,-10.7922
Kolwezi:Kanzenze,HD_197,16399,25.4192148,-10.05557074,25.4395,-10.0132
Kolwezi:Lualaba,HD_198,520824,25.50754805,-10.72416031,25.6011,-10.9974
Kolwezi:Lubudi,HD_199,105509,26.1087029,-10.19976253,26.195,-10.1382
Kolwezi:Manika,HD_200,14014,26.19185143,-11.44038625,26.0683,-11.4916
Kolwezi:Mutshatsha,HD_201,57336,24.67326223,-10.62451394,24.6908,-10.6905
Kwango:Boko,HD_202,272418,16.83674072,-4.993269702,16.7344,-4.969
Kwango:Feshi,HD_203,81057,18.30974155,-6.235555861,18.3831,-6.33759
Kwango:Kahemba,HD_204,168345,19.15166415,-7.261405337,19.2598,-7.1812
Kwango:Kajiji,HD_205,70706,18.51762301,-7.586827002,18.51,-7.54199
Kwango:Kasongo Lunda,HD_206,132448,16.88587727,-6.421675558,16.9094,-6.47027
Kwango:Kenge,HD_207,296480,17.32032783,-4.708095703,17.358,-4.7254
Kwango:Kimbao,HD_208,140669,17.25007144,-5.535549736,17.2522,-5.50626
Kwango:Kisandji,HD_209,116227,19.11316966,-6.369029269,19.0078,-6.49002
Kwango:Kitenda,HD_210,79645,17.33740735,-7.133999832,17.3583,-7.23568
Kwango:Mwela-Lembwa,HD_211,130697,17.75684383,-6.038600015,17.7858,-6.1253
Kwango:Panzi,HD_212,161147,18.03604427,-7.18271525,18.0646,-7.17467
Kwango:Popokabaka,HD_213,270488,16.62733484,-5.724623067,16.5793,-5.64729
Kwango:Tembo,HD_214,77493,17.49856695,-7.783138917,17.6931,-7.79307
Kwango:Wamba Lwadi,HD_215,300023,17.33942849,-6.470996842,17.3243,-6.47641
Kwilu:Bagata,HD_216,250284,17.85278364,-3.815260497,17.848,-3.73761
Kwilu:Bulungu,HD_217,231165,18.81739634,-4.565957041,18.8596,-4.57314
Kwilu:Djuma,HD_218,227837,18.59771936,-4.30872055,18.616,-4.25808
Kwilu:Gungu,HD_219,363274,19.2896401,-5.859596177,19.2578,-5.9881
Kwilu:Idiofa,HD_220,499145,19.51436359,-4.955297757,19.4541,-5.02623
Kwilu:Ipamu,HD_221,192795,19.69490531,-4.30264762,19.7095,-4.30827
Kwilu:Kikongo,HD_222,169921,17.3386188,-4.127400007,17.1681,-4.17017
Kwilu:Kimputu,HD_223,185695,19.32764693,-4.340854952,19.3418,-4.31681
Kwilu:Kingandu,HD_224,90796,18.60968368,-5.643197096,18.6338,-5.64972
Kwilu:Koshibanda,HD_225,257097,19.85310328,-5.138919354,19.8909,-5.03285
Kwilu:Lusanga,HD_226,180752,18.90851741,-4.977480178,18.9104,-5.01957
Kwilu:Masi-Manimba,HD_227,276359,17.79908874,-4.934603006,17.8211,-5.00538
Kwilu:Moanza,HD_228,274860,18.16605741,-5.473342815,18.0367,-5.47482
Kwilu:Mokala,HD_229,145002,19.01270205,-3.958707171,19.0174,-3.95722
Kwilu:Mosango,HD_230,154971,18.12446768,-4.774450981,18.1915,-4.87991
Kwilu:Mukedi,HD_231,209309,19.77546834,-5.691104471,19.8998,-5.6978
Kwilu:Mungindu,HD_232,90269,19.08605314,-5.520273151,19.0747,-5.50783
Kwilu:Pay Kongila,HD_233,78937,18.51638407,-5.032898767,18.499,-5.01779
Kwilu:Sia,HD_234,119213,18.57128963,-3.800674797,18.5426,-3.81188
Kwilu:Vanga,HD_235,247111,18.30551267,-4.464253716,18.3187,-4.46473
Kwilu:Yasa-Bonga,HD_236,419142,17.9437087,-4.487029836,17.9091,-4.49992
Likasi:Kikula,HD_237,20020,27.27042506,-10.74283669,27.3648,-10.7641
Likasi:Likasi,HD_238,324015,26.77298203,-10.98242452,26.8729,-11.0205
Likasi:Panda,HD_239,1696,26.74232643,-11.37849364,26.6899,-11.4476
Lualaba:Dilolo,HD_240,116671,22.57697878,-10.61050654,22.6287,-10.6095
Lualaba:Kafakumba,HD_241,93459,23.69136715,-9.524399827,23.7965,-9.39448
Lualaba:Kalamba,HD_242,59031,23.28327438,-8.259260198,23.2574,-8.48669
Lualaba:Kapanga,HD_243,101945,22.47547738,-8.281459103,22.3659,-8.34374
Lualaba:Kasaji,HD_244,204894,23.40909551,-10.48916122,23.5995,-10.5027
Lualaba:Sandoa,HD_245,141880,22.80931607,-9.620469615,22.5971,-9.47309
Lubumbashi:Kamalondo,HD_246,5357,27.66926748,-11.77650467,27.7083,-11.7638
Lubumbashi:Kampemba,HD_247,8049,27.82227996,-11.72983591,27.8632,-11.7542
Lubumbashi:Katuba,HD_248,1518,27.65716625,-11.88832058,27.656,-11.9004
